OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2025-04-20T11:06:29.107296,15.06388858,.0001538,53.0544,197.6394,53.6124,306.5006,0,U,44714,999,30003,.18E-3,.24E-4,0
STARLINK-1010,2019-074D,2025-04-20T14:28:09.766848,15.06398614,.0001302,53.0541,197.0112,88.4629,271.6509,0,U,44716,999,30003,.27935E-3,.3882E-4,0
STARLINK-1011,2019-074E,2025-04-20T17:36:30.994848,15.06437833,.0003457,53.0527,216.4249,227.1048,132.9651,0,U,44717,999,29979,-.12713E-2,-.19189E-3,0
STARLINK-1012,2019-074F,2025-04-20T12:10:10.787520,15.06395994,.0001426,53.0535,197.4338,113.9781,246.1357,0,U,44718,999,30003,.5259E-3,.756E-4,0
STARLINK-1013,2019-074G,2025-04-20T15:31:51.431520,15.06414737,.0001301,53.0530,196.8100,98.2266,261.8870,0,U,44719,999,30118,.80362E-3,.11713E-3,0
STARLINK-1014,2019-074H,2025-04-20T22:00:01.999584,15.59595631,.0009612,53.0409,155.6964,330.7537,225.7039,0,U,44720,999,598,.22283E-2,.184629E-2,0
STARLINK-1015,2019-074J,2025-04-20T14:54:47.335680,15.06403496,.0001449,53.0531,197.2749,116.2015,243.9123,0,U,44721,999,30004,.93233E-3,.13634E-3,0
STARLINK-1017,2019-074L,2025-04-20T14:33:27.183168,15.06387326,.0001412,53.0538,196.9887,102.7680,257.3467,0,U,44723,999,30005,.94877E-3,.13874E-3,0
STARLINK-1019,2019-074M,2025-04-20T12:04:51.625056,15.06400042,.0001328,53.0536,197.4555,83.3519,276.7621,0,U,44724,999,30003,.16232E-3,.2137E-4,0
STARLINK-1020,2019-074N,2025-04-20T12:12:48.437280,15.06400032,.0000704,53.0538,217.4360,101.9851,258.1217,0,U,44725,999,29975,.13005E-2,.19142E-3,0
STARLINK-1021,2019-074P,2025-04-20T11:59:34.245888,15.06393873,.0001295,53.0529,197.4723,92.6247,267.4890,0,U,44726,999,30003,.36445E-3,.515E-4,0
STARLINK-1027,2019-074V,2025-04-17T14:51:20.691936,16.04990268,.0006981,53.0458,181.2049,336.7399,172.0678,0,U,44732,999,30017,.79887E-3,.562027E-2,.1612E-3
STARLINK-1029,2019-074X,2025-04-20T07:28:50.953440,15.06402662,.0001409,53.0545,118.3164,86.4172,273.6978,0,U,44734,999,30110,.16898E-3,.2237E-4,0
STARLINK-1030,2019-074Y,2025-04-20T12:07:30.138816,15.06397143,.0001082,53.0537,217.4532,88.2265,271.8848,0,U,44735,999,29975,.23872E-3,.3276E-4,0
STARLINK-1031,2019-074Z,2025-04-20T17:15:21.263904,15.06387079,.0001549,53.0538,216.4860,109.9576,250.1580,0,U,44736,999,29979,.10131E-3,.1227E-4,0
STARLINK-1036,2019-074AE,2025-04-20T16:06:21.823488,15.06394123,.0000902,53.0538,216.7007,105.1975,254.9114,0,U,44741,999,29978,.56148E-3,.809E-4,0
